zipcode,cd,state,city,state_fips_code
02116,2508,MA,BOSTON,25
02117,2507,MA,BOSTON,25
02118,2507,MA,BOSTON,25
02118,2508,MA,BOSTON,25
02119,2507,MA,ROXBURY,25
02120,2507,MA,ROXBURY CROSSING,25
02121,2507,MA,DORCHESTER,25
02122,2507,MA,DORCHESTER,25
02122,2508,MA,DORCHESTER,25
02123,2507,MA,BOSTON,25
02124,2507,MA,DORCHESTER CENTER,25
02124,2508,MA,DORCHESTER CENTER,25
02125,2507,MA,DORCHESTER,25
02125,2508,MA,DORCHESTER,25
02126,2507,MA,MATTAPAN,25
02126,2508,MA,MATTAPAN,25
02127,2508,MA,SOUTH BOSTON,25
02128,2507,MA,EAST BOSTON,25
02128,2508,MA,EAST BOSTON,25
02129,2507,MA,CHARLESTOWN,25
02130,2507,MA,JAMAICA PLAIN,25
02130,2508,MA,JAMAICA PLAIN,25
02131,2507,MA,ROSLINDALE,25
02131,2508,MA,ROSLINDALE,25
02132,2507,MA,WEST ROXBURY,25
02132,2508,MA,WEST ROXBURY,25
02133,2507,MA,BOSTON,25
02134,2507,MA,ALLSTON,25
02135,2504,MA,BRIGHTON,25
02135,2507,MA,BRIGHTON,25
02136,2507,MA,HYDE PARK,25
02137,2507,MA,READVILLE,25
02138,2505,MA,CAMBRIDGE,25
02138,2507,MA,CAMBRIDGE,25
02139,2505,MA,CAMBRIDGE,25
02139,2507,MA,CAMBRIDGE,25
02140,2505,MA,CAMBRIDGE,25
02140,2507,MA,CAMBRIDGE,25
02141,2507,MA,CAMBRIDGE,25
02142,2507,MA,CAMBRIDGE,25
02143,2505,MA,SOMERVILLE,25
02143,2507,MA,SOMERVILLE,25
02144,2505,MA,SOMERVILLE,25
02144,2507,MA,SOMERVILLE,25
02145,2505,MA,SOMERVILLE,25
02145,2507,MA,SOMERVILLE,25
02148,2505,MA,MALDEN,25
02148,2507,MA,MALDEN,25
02149,2505,MA,EVERETT,25
02149,2507,MA,EVERETT,25
02150,2507,MA,CHELSEA,25
02151,2505,MA,REVERE,25
02151,2507,MA,REVERE,25
02152,2505,MA,WINTHROP,25
02155,2505,MA,MEDFORD,25
02155,2507,MA,MEDFORD,25
02163,2505,MA,BOSTON,25
02163,2507,MA,BOSTON,25
02169,2508,MA,QUINCY,25
02170,2508,MA,QUINCY,25
02171,2508,MA,QUINCY,25
02176,2505,MA,MELROSE,25
02180,2505,MA,STONEHAM,25
02180,2506,MA,STONEHAM,25
02184,2508,MA,BRAINTREE,25
02185,2508,MA,BRAINTREE,25
02186,2507,MA,MILTON,25
02186,2508,MA,MILTON,25
02188,2508,MA,WEYMOUTH,25
02189,2508,MA,EAST WEYMOUTH,25
02190,2508,MA,SOUTH WEYMOUTH,25
02191,2508,MA,NORTH WEYMOUTH,25
02196,2508,MA,BOSTON,25
02199,2507,MA,BOSTON,25
02201,2508,MA,BOSTON,25
02203,2508,MA,BOSTON,25
02205,2507,MA,BOSTON,25
02210,2507,MA,BOSTON,25
02210,2508,MA,BOSTON,25
02215,2504,MA,BOSTON,25
02215,2507,MA,BOSTON,25
02217,2508,MA,BOSTON,25
02222,2508,MA,BOSTON,25
02238,2505,MA,CAMBRIDGE,25
02269,2508,MA,QUINCY,25
02301,2508,MA,BROCKTON,25
02302,2508,MA,BROCKTON,25
02303,2508,MA,BROCKTON,25
02304,2508,MA,BROCKTON,25
02305,2508,MA,BROCKTON,25
02322,2507,MA,AVON,25
02322,2508,MA,AVON,25
02324,2508,MA,BRIDGEWATER,25
02324,2509,MA,BRIDGEWATER,25
02325,2509,MA,BRIDGEWATER,25
02327,2509,MA,BRYANTVILLE,25
02330,2509,MA,CARVER,25
02331,2509,MA,DUXBURY,25
02332,2509,MA,DUXBURY,25
02333,2508,MA,EAST BRIDGEWATER,25
02333,2509,MA,EAST BRIDGEWATER,25
02334,2508,MA,EASTON,25
